feature,shap_importance
service,0.1457419160927113
flag,0.015373444268392343
num_failed_logins,0.013563557052249974
dst_host_same_src_port_rate,0.008400936852636287
dst_host_srv_rerror_rate,0.008249259839148126
rerror_rate,0.007796852947925618
dst_host_diff_srv_rate,0.007362116539731772
count,0.006817752402633615
logged_in,0.006082127393225967
same_srv_rate,0.006050212939996263
srv_rerror_rate,0.0057051424312098455
diff_srv_rate,0.005668806319743883
dst_host_srv_count,0.004822931980927118
dst_host_srv_serror_rate,0.004786770320442014
dst_host_rerror_rate,0.004135071566848722
dst_host_same_srv_rate,0.0038234167975547805
srv_diff_host_rate,0.0037613253858471366
dst_host_count,0.003734460697095191
is_guest_login,0.0035264116244302607
protocol_type,0.003429399598041077
srv_count,0.0033022630487095183
dst_host_serror_rate,0.0028040980097174327
srv_serror_rate,0.0027823637856691915
serror_rate,0.0023353816991839816
duration,0.0013951836652116364
dst_host_srv_diff_host_rate,0.0010102711697729052
hot,8.291867142908065e-05
dst_bytes,1.756862161926347e-06
src_bytes,1.3783024254970794e-06
num_compromised,7.125486279320351e-07
urgent,0.0
land,0.0
wrong_fragment,0.0
num_shells,0.0
num_access_files,0.0
num_outbound_cmds,0.0
is_host_login,0.0
root_shell,0.0
su_attempted,0.0
num_root,0.0
num_file_creations,0.0
