score,label
6.2754054e-07,0
7.975632e-08,0
6.8218124e-09,0
2.0904368e-08,0
9.1368344e-07,0
1.3877051e-06,0
2.800864e-08,0
8.232102e-08,0
2.2765132e-08,0
2.3183647e-08,0
1.6246851e-10,0
3.3801115e-08,0
4.686799e-12,0
8.849934e-08,0
4.8693983e-06,0
1.9265597e-06,0
1.5469293e-11,0
7.4520995e-07,0
2.311974e-06,0
2.6698424e-07,0
2.3573104e-06,0
1.9119987e-08,0
1.2881568e-06,0
3.4594496e-08,0
1.9172987e-05,0
6.676437e-11,0
3.7602436e-07,0
5.0543463e-08,0
2.0802822e-06,0
2.63002e-07,0
2.4287087e-07,0
2.5697375e-07,0
3.5841065e-06,0
3.0817964e-06,0
7.486698e-07,0
3.2106482e-06,0
3.7912864e-07,0
1.1523435e-08,0
6.938706e-05,0
7.298415e-08,0
7.8088966e-11,0
4.587405e-06,0
3.738222e-07,0
3.253064e-06,0
2.061002e-07,0
1.4634878e-06,0
1.992737e-06,0
4.0121822e-08,0
1.6639021e-10,0
8.779732e-06,0
1.4368177e-05,1
2.2560413e-05,1
1.1725274e-05,1
2.2893357e-05,1
7.131918e-05,1
5.8021902e-05,1
1.1754765e-05,1
5.084771e-10,1
1.8268938e-06,1
1.2324004e-05,1
7.7573793e-07,1
1.0620221e-06,1
9.609515e-07,1
6.735598e-05,1
0.0014860294,1
0.0001827729,1
4.6795904e-08,1
2.417109e-05,1
0.0003246385,1
6.8392466e-05,1
4.0412113e-05,1
2.061058e-06,1
1.2243828e-05,1
2.1201622e-05,1
7.303366e-05,1
1.3542318e-06,1
1.267074e-10,1
1.669467e-05,1
5.702569e-05,1
2.5431309e-05,1
4.0904095e-05,1
6.4277733e-06,1
1.6528995e-05,1
3.2741502e-06,1
1.8939073e-06,1
4.0772033e-05,1
7.18095e-05,1
1.6594539e-08,1
2.0103188e-08,1
9.860165e-07,1
1.6246053e-06,1
2.2173746e-05,1
6.802047e-06,1
0.00010400823,1
1.0196222e-07,1
2.5223034e-08,1
1.0426053e-05,1
0.00043083707,1
6.003386e-06,1
2.1592106e-08,1
6.672506e-07,1
3.3283068e-05,1
1.6237784e-05,1
2.1130369e-05,1
5.327526e-06,1
4.4768097e-07,1
6.6505066e-08,1
5.481958e-07,1
2.974007e-08,1
1.6430315e-06,1
1.0049396e-05,1
5.6202776e-08,1
1.5078355e-06,1
3.0797823e-05,1
9.873965e-05,1
7.538857e-07,1
8.692363e-06,1
7.9109595e-05,1
0.00010716976,1
2.7150767e-05,1
8.3694914e-07,1
5.655084e-07,1
6.2292816e-06,1
0.00059507857,1
0.00012802394,1
8.525706e-07,1
9.716637e-06,1
1.3948772e-05,1
3.211913e-06,1
4.7091125e-05,1
3.5329451e-06,1
8.1428226e-07,1
2.5771757e-10,1
7.141814e-08,1
1.9422512e-06,1
1.4021695e-06,1
1.7735389e-05,1
2.1943096e-08,1
7.641712e-06,1
2.3576393e-05,1
2.1000033e-05,1
1.7534903e-06,1
5.920246e-06,1
2.6093612e-05,1
1.947118e-05,1
2.7506073e-06,1
9.401743e-05,1
0.00012223926,1
1.1256882e-06,1
2.551916e-05,1
1.4953191e-05,1
0.00016776293,1
4.09739e-05,1
2.3336409e-06,1
7.788997e-06,1
3.1827278e-07,1
3.1927012e-08,1
1.9582872e-06,1
5.2732985e-06,1
8.0789556e-05,1
5.307774e-06,1
5.5737555e-06,1
0.000104187304,1
5.105432e-05,1
3.289138e-06,1
2.1431285e-06,1
3.88423e-06,1
2.425175e-06,1
7.7989256e-07,1
8.102911e-06,1
1.4389129e-05,1
7.711382e-05,1
5.5256955e-05,1
1.0809237e-05,1
1.0232811e-07,1
0.00013085538,1
8.368408e-05,1
7.639842e-05,1
2.6047594e-05,1
2.921863e-05,1
6.2926636e-05,1
0.000249628,1
3.3075046e-06,1
1.0980482e-05,1
7.3181354e-06,1
5.195001e-06,1
5.098285e-05,1
2.025975e-05,1
4.3612676e-05,1
1.6744161e-05,1
4.355715e-07,1
1.3040599e-06,1
3.145638e-08,1
6.2902516e-05,1
0.00018834455,1
2.6403604e-05,1
7.0124086e-05,1
0.00015193319,1
2.6319813e-05,1
2.376117e-10,1
2.3289509e-05,1
0.00063011766,1
0.00022957631,1
6.4060487e-06,1
2.9802588e-06,1
3.027182e-05,1
1.9859504e-05,1
5.878754e-08,1
3.544375e-06,1
5.262612e-05,1
8.777706e-06,1
8.1381955e-07,1
4.7371555e-05,1
8.401549e-06,1
3.937245e-08,1
4.9435847e-08,1
1.2468088e-06,1
4.1870753e-05,1
4.97336e-05,1
5.778838e-06,1
1.9839233e-06,1
8.69995e-06,1
1.2398402e-06,1
3.2305416e-06,1
2.0626963e-05,1
2.8061957e-05,1
1.4082065e-06,1
7.694208e-08,1
1.08942054e-07,1
4.023447e-06,1
1.35368155e-05,1
5.2647203e-05,1
4.0022385e-08,1
3.380509e-09,1
1.3854102e-05,1
5.6378558e-05,1
9.483556e-05,1
1.95794e-05,1
9.526676e-06,1
3.0457065e-06,1
7.1002245e-07,1
0.00014092824,1
7.230408e-06,1
1.0218462e-06,1
7.536455e-07,1
2.3702005e-05,1
5.454338e-05,1
3.837335e-05,1
7.805385e-06,1
1.3278195e-06,1
9.629738e-08,1
1.2771485e-05,1
0.00049891433,1
0.0002207553,1
4.603208e-05,1
0.00013353673,1
0.00013517284,1
0.0005658579,1
0.0001846801,1
9.422982e-06,1
2.2247881e-05,1
1.01858426e-07,1
1.0479714e-05,1
7.5125674e-05,1
7.98465e-05,1
5.6558565e-06,1
1.194133e-05,1
2.3102059e-05,1
7.058379e-05,1
9.04611e-05,1
0.00015080765,1
1.8335022e-05,1
1.6932803e-06,1
2.32124e-06,1
1.770889e-07,1
3.5555406e-06,1
1.5987715e-06,1
2.1305937e-06,1
2.6178679e-05,1
3.0573005e-06,1
4.0641643e-07,1
8.566989e-05,1
4.999237e-05,1
2.3772745e-06,1
1.8088087e-06,1
0.00029872273,1
0.0002520072,1
3.9088398e-05,1
4.247317e-06,1
0.00010018392,1
0.00017409705,1
2.2625998e-06,1
1.4837384e-06,1
1.6748047e-07,1
1.1148379e-05,1
7.390464e-05,1
1.8771738e-06,1
3.7299918e-07,1
6.2649946e-05,1
7.3157455e-05,1
0.0004513887,1
0.00018135928,1
7.971571e-05,1
3.081113e-05,1
1.6590777e-06,1
5.7864368e-06,1
5.0644718e-05,1
1.8186442e-05,1
3.9674367e-05,1
3.945786e-05,1
1.8751352e-05,1
6.9549964e-07,1
9.717505e-07,1
1.0600059e-05,1
5.616557e-05,1
1.09126795e-05,1
1.7127993e-05,1
2.2920986e-07,1
3.4384238e-06,1
9.647543e-06,1
7.7483514e-07,1
3.1284028e-05,1
4.682645e-06,1
1.1905474e-06,1
0.00037677347,1
0.00089442165,1
3.4919667e-05,1
4.9249225e-06,1
3.3437711e-06,1
2.0658145e-08,1
2.3571651e-08,1
7.004241e-05,1
1.2876557e-06,1
9.346747e-09,1
2.1008042e-07,1
6.857482e-06,1
6.0976337e-05,1
1.3201227e-05,1
0.0003187304,1
2.1520587e-05,1
1.1704132e-06,1
6.4562766e-05,1
0.00012589461,1
7.0574097e-06,1
7.445412e-06,1
8.6197666e-08,1
4.400064e-06,1
0.00012210448,1
2.3619197e-05,1
1.2394428e-05,1
7.2591156e-06,1
1.4584255e-05,1
1.0748876e-05,1
1.0448977e-05,1
1.2809003e-05,1
3.9455554e-06,1
7.5404846e-06,1
2.2135744e-06,1
2.254432e-06,1
5.01572e-06,1
8.245927e-06,1
1.1270072e-06,1
0.000120565695,1
1.9924216e-06,1
3.8679395e-06,1
0.00010053132,1
0.00024917265,1
5.1702364e-07,1
7.4945806e-06,1
9.5109435e-06,1
8.581399e-06,1
4.4627573e-06,1
4.3344053e-06,1
5.3129315e-07,1
1.3275972e-08,1
1.647819e-05,1
0.00012317016,1
4.891727e-05,1
3.2873254e-06,1
1.3174178e-10,1
2.2202657e-06,1
2.0576157e-05,1
1.9204253e-06,1
3.2185515e-06,1
6.6652383e-06,1
3.1271707e-06,1
8.779662e-07,1
5.139246e-07,1
1.9357609e-05,1
1.8182489e-05,1
3.0162002e-05,1
2.0176549e-05,1
6.4707245e-05,1
9.6626005e-05,1
3.3554013e-05,1
7.6540215e-07,1
1.3865958e-05,1
2.5456618e-05,1
1.4372989e-06,1
8.6804546e-05,1
0.0003574368,1
6.025806e-05,1
0.0001224279,1
1.5375295e-05,1
0.00036430865,1
2.2076135e-07,1
1.0488231e-05,1
4.77197e-06,1
3.7903093e-05,1
1.6160588e-05,1
3.941356e-05,1
3.8029864e-06,1
3.567268e-06,1
6.4992484e-08,1
0.00031745218,1
0.0003553873,1
1.7678176e-05,1
0.00019781211,1
0.000706313,1
3.1044547e-05,1
6.1168134e-06,1
1.4454061e-05,1
4.6952196e-06,1
